Date,Station,Watershed,E.coli,Nitrite,Ammonia,Total Phosphorus,Total Soluble Phosphorus,Ortho-Phosphorus,BOD5,TSS,Chlorophyll a,Phaeophytin a,Hardness,Alkalinity,Turbidity,Dissolved Oxygen,Cadmium,Chromium,Copper,Iron,Lead,Mercury,Zinc,Arsenic,Selenium,Phytoplankton,Zooplankton,Temperature,pH,Seechi Depth,sum
2/11/2014,ANA29,Anacostia,40,0.012,,,,,2.1,19,4.2,,92,62,26.2,14.2,,,,,,,,,,,,1.8,8.1,0.3,269.912
3/11/2014,ANA29,Anacostia,15,0.012,,,,,2.3,6,2.5,,126,86,4.8,12.6,,,,,,,,,,,,6.8,8.1,1.2,271.312
4/8/2014,ANA29,Anacostia,31,,0.015,,,,1.2,11,1.8,,104,72,7.1,10.9,,,,,,,,,,,,11.5,7.3,0.9,258.715
5/13/2014,ANA29,Anacostia,7,,,,,,1,8,3.707348,,114,78,2.806863,8.649483,,,,,,,,,,,,21.377113,7.800657,1.3,253.641464
6/17/2014,ANA29,Anacostia,133,0.013,0.048,,,,1.4,17,2.853245,,96,68,50.046082,8.189513,,,,,,,,,,,,23.997339,7.303882,0.2,408.051061
7/8/2014,ANA29,Anacostia,5,,0.032,,,,1.4,7,12.92613,,158,112,7.942266,8.556974,,,,,,,,,,,,27.587301,8.373635,0.6,349.418306
8/19/2014,ANA29,Anacostia,37,0.016,0.042,,,,1.9,22,10.502856,,128,88,9.646777,6.162383,,,,,,,,,,,,25.08647,7.183702,0.6,336.140188
9/9/2014,ANA29,Anacostia,34,0.018,0.102,,,,1,18,3.574342,,144,92,10.116122,6.123814,,,,,,,,,,,,25.860342,7.848585,0.7,343.343205
10/7/2014,ANA29,Anacostia,20,,0.067,,,,,8,2.849955,,170,108,6.419768,8.247417,,,,,,,,,,,,19.434193,8.234696,0.9,352.153029
11/18/2014,ANA29,Anacostia,66,0.012,0.156,,,,1.7,9,2.254141,,148,90,4.888911,10.038094,,,,,,,,,,,,8.574999,7.763361,1.4,349.787506
12/9/2014,ANA29,Anacostia,2420,,0.011,,,,1.6,31,3.17432,,142,96,6.921694,13.255961,,,,,,,,,,,,4.875407,7.726237,0.8,2727.364619
1/13/2015,ANA29,Anacostia,86,,0.029,,,,1.9,,0.2,,146,84,4.1,14.94,,,,,,,,,,,,0.45,7.89,1.2,346.709
2/10/2015,ANA29,Anacostia,30,,,,,,1.9,7,0.9,,148,90,,14.9,,,,,,,,,,,,1.3,8.1,1.8,303.9
3/10/2015,ANA29,Anacostia,122,,0.075,,,,2.7,25,2.9,,108,68,25.4,13.3,,,,,,,,,,,,2.7,7.86,0.4,378.335
4/7/2015,ANA29,Anacostia,71,,,,,,1.4,,5,,130,86,3.2,10.5,,,,,,,,,,,,13.5,7.92,1.4,329.92
5/19/2015,ANA29,Anacostia,2420,0.013,,,,,3.1,16,17.932516,,126,84,4.435575,7.221526,,,,,,,,,,,,24.705208,7.747211,0.7,2711.855036
6/16/2015,ANA29,Anacostia,214,0.01,,,,,2.6,,14.233104,,135,90,1.845602,6.409748,,,,,,,,,,,,28.733385,7.862008,0.6,501.293847
7/7/2015,ANA29,Anacostia,45,0.016,0.108,,,,,,5.669503,,,74,8.627812,7.705992,,,,,,,,,,,,25.35586,7.930775,0.7,175.113942
8/18/2015,ANA29,Anacostia,9,0.026,0.067,,,,2.8,,13.690811,,152,90,6.18813,8.0945,,,,,,,,,,,,27.916201,7.4981,0.8,318.080742
9/15/2015,ANA29,Anacostia,24,0.028,0.168,,,0.008,0.7,,4.30457,,160,88,6.109584,6.707598,,,,,,,,,,,,24.143305,7.955236,0.9,323.024293
10/6/2015,ANA29,Anacostia,727,,0.056,,,0.041,,20,2.379942,,130,84,20.9,10.278608,,,,,,,,,,,,16.318514,7.518829,0.5,1018.992893
11/16/2015,ANA29,Anacostia,97,,0.038,,,,,,0.689701,,132,96,3.467443,10.449788,,,,,,,,,,,,11.813478,7.495542,1.5,360.453952
12/8/2015,ANA29,Anacostia,42,,0.024,,,,1.2,,1.943937,,130,88,3.622047,11.651757,,,,,,,,,,,,7.666659,7.406554,1.3,294.814954
1/15/2008,ANA21,Anacostia,39,0.016,0.188,,,,1.1,12,2.7,,114,66,10,13.2,,,,,,,,,,,,5.9,7.6,0.8,272.504
2/12/2008,ANA21,Anacostia,43,0.024,0.182,,,,2.4,16,3.2,,92,52,35,11.28,,,,,,,,,,,,4.7,7.7,0.5,267.986
3/4/2008,ANA21,Anacostia,58,,0.151,,,,1.4,11,1.1,,114,66,20,11.81,,,,,,,,,,,,6.1,7.9,0.7,298.161
3/17/2008,ANA21,Anacostia,,0.01,0.265,,,,,19,4.1,,92,50,125,8.06,,,,,,,,,,,,10.7,7.5,0.4,317.035
4/8/2008,ANA21,Anacostia,15,,0.133,,,,1.2,11,3.5,,130,70,35,11.28,,,,,,,,,,,,9,8.1,0.8,295.013
4/28/2008,ANA21,Anacostia,,0.023,0.232,,,,,10,5.3,,95,60,15,5.56,,,,,,,,,,,,17.4,7.2,0.6,216.315
5/13/2008,ANA21,Anacostia,3972,,,,,,3.1,65,11,,56,32,100,8.43,,,,,,,,,,,,12.7,7.2,0.1,4267.53
5/27/2008,ANA21,Anacostia,,,0.077,,,,,9,19.7,,94,60,10,8.89,,,,,,,,,,,,19.9,7.9,0.7,230.167
6/10/2008,ANA21,Anacostia,138,,,,,,3.4,,28,,72,52,15,4.58,,,,,,,,,,,,28.9,7.3,0.6,349.78
6/23/2008,ANA21,Anacostia,,,0.397,,,,,,16.6,,116,68,5,5.5,,,,,,,,,,,,26.3,7.2,0.7,245.697
7/8/2008,ANA21,Anacostia,219,0.034,0.231,,,,3,12,10.8,,130,80,10,6,,,,,,,,,,,,27.5,7.7,0.5,506.765
7/21/2008,ANA21,Anacostia,,,,,,,,8,,,132,80,20,6.6,,,,,,,,,,,,26.9,7.8,0.6,281.9
8/12/2008,ANA21,Anacostia,13,,,,,,2.7,11,8.4,,116,74,20,6.48,,,,,,,,,,,,26.3,7.5,0.4,285.78
8/25/2008,ANA21,Anacostia,,0.043,0.128,,,,,9,22.8,,132,92,25,8.51,,,,,,,,,,,,26.8,8,0.5,324.781
9/8/2008,ANA21,Anacostia,272,0.016,0.114,,,,2.2,13,15.4,,68,40,35,5.54,,,,,,,,,,,,25.3,7.3,0.4,484.27
9/15/2008,ANA21,Anacostia,,0.032,0.155,,,,,14,10.5,,82,56,10,5.34,,,,,,,,,,,,25.5,7.6,0.6,211.727
10/7/2008,ANA21,Anacostia,54,0.028,0.122,,,,1.4,12,10.5,,112,70,10,6.28,,,,,,,,,,,,19.3,7.4,0.6,303.63
10/20/2008,ANA21,Anacostia,,0.03,0.048,,,,,10,10.9,,148,86,15,8.44,,,,,,,,,,,,17.8,7.9,0.6,304.718
11/18/2008,ANA21,Anacostia,84,,0.212,,,,1.5,,11.7,,134,78,20,7.22,,,,,,,,,,,,10.7,7.3,0.7,355.332
12/16/2008,ANA21,Anacostia,1203,0.014,0.127,,,,2.9,,7.1,,102,56,100,10.28,,,,,,,,,,,,5.8,7.3,0.3,1494.821
1/5/2009,ANA21,Anacostia,,0.012,0.094,,,,1.6,,,,,,,,,,,,,,,,,,,,,,1.706
1/13/2009,ANA21,Anacostia,,,,,,,,,5.2,,80,48,100,11.5,,,,,,,,,,,,3.1,7.5,0.3,255.6
2/10/2009,ANA21,Anacostia,55,,,,,,2,,1.8,,136,80,10,13.1,,,,,,,,,,,,2.9,8,1.9,310.7
3/3/2009,ANA21,Anacostia,,0.011,0.075,,,,2.2,,7.7,,120,70,15,12,,,,,,,,,,,,3.3,9.2,0.4,239.886
3/16/2009,ANA21,Anacostia,,0.022,0.06,,,,,,9.4,,136,86,15,10.7,,,,,,,,,,,,8.5,7.8,1,274.482
4/20/2009,ANA21,Anacostia,99,0.021,0.197,,,,2.4,23,,,,,,,,,,,5,,,,,,,,,,129.618
4/27/2009,ANA21,Anacostia,,0.022,0.159,,,,,9,7.4,,74,46,30,8,,,,,,,,,,,,15.5,7,,197.081
5/12/2009,ANA21,Anacostia,2092,0.027,0.308,,,,1.6,15,5.1,,66,46,35,5.3,,,,,,,,,,,,18.8,7,0.4,2292.535
5/26/2009,ANA21,Anacostia,,0.038,0.188,,,,,76,11.9,,62,36,35,3.9,,,,,,,,,,,,22.3,7.7,0.1,255.126
6/16/2009,ANA21,Anacostia,145,0.04,0.277,,,,,20,10.3,,70,48,35,3.1,,,,,,,,,,,,24.7,7.1,0.3,363.817
6/29/2009,ANA21,Anacostia,,0.036,0.372,,,,,14,5.8,,84,60,35,3.1,,,,,,,,,,,,26,7.1,0.5,235.908
7/14/2009,ANA21,Anacostia,272,0.044,0.084,,,,3.2,,17.3,,106,74,20,8.6,,,,,,,,,,,,26.5,7.8,0.5,536.028
7/27/2009,ANA21,Anacostia,,0.025,0.076,,,,,14,13.6,,100,68,50,5.5,,,,,,,,,,,,27.3,7.4,0.5,286.401
8/11/2009,ANA21,Anacostia,10,0.029,0.03,,,,4.4,15,,,114,78,20,7.6,,,,,,,,,,,,28.6,7.9,0.5,286.059
8/24/2009,ANA21,Anacostia,,,,,,,,13,11.6,,114,80,20,4.1,,,,,,,,,,,,28.3,7.3,0.6,278.9
9/15/2009,ANA21,Anacostia,248,0.072,,,,,4.5,7,22.7,,102,66,15,8.2,,,,,,,,,,,,23.1,7.7,0.5,504.772
9/28/2009,ANA21,Anacostia,,0.089,0.158,,,,,15,8.4,,92,62,15,6.2,,,,,,,,,,,,18.6,8,0.8,226.247
10/6/2009,ANA21,Anacostia,115,0.05,0.103,,,,2,,10,,110,76,20,7.8,,,,,5,,,,,,,16.7,7.9,0.5,371.053
10/19/2009,ANA21,Anacostia,,0.018,0.0178,,,,,,3.2,,104,71,15,9.2,,,,,,,,,,,,9.3,7.7,0.6,220.0358
11/17/2009,ANA21,Anacostia,152,0.016,,,,,1.6,,4.4,,78,54,20,7,,,,,,,,,,,,8.7,7.2,0.4,333.316
12/8/2009,ANA21,Anacostia,1553,0.021,0.183,,,,1.6,,2.9,,74,50,25,9.2,,,,,,,,,,,,4.3,7.3,0.4,1727.904
1/12/2010,ANA21,Anacostia,34,0.012,0.085,,,,1,22,1.8,,118,74,20,13.7,,,,,,,,,,,,2.7,7.8,1.5,296.597
3/16/2010,ANA21,Anacostia,3088,0.018,0.132,,,,2,43,5.5,,60,38,100,9.1,,,,,,,,,,,,6.6,7.3,0.1,3359.75
3/29/2010,ANA21,Anacostia,,0.03,,,,,,11,,,92,48,10,7.9,,,,,,,,,,,,8.8,7.7,0.4,185.83
4/13/2010,ANA21,Anacostia,63,0.026,0.151,,,,1.8,12,9.4,,102,62,15,6,,,,,,,,,,,,14.8,7.8,0.7,294.677
4/26/2010,ANA21,Anacostia,,0.039,0.389,,,,,7,7.9,,116,1,30,5.3,,,,,,,,,,,,14.2,8.1,0.5,190.428
5/11/2010,ANA21,Anacostia,8,0.054,0.326,,,,1.7,22,1.1,,114,80,30,6,,,,,,,,,,,,16.3,7.7,0.4,287.58
5/24/2010,ANA21,Anacostia,,0.044,0.362,,,,,13,6.2,,94,62,25,4.3,,,,,,,,,,,,18,7.1,0.4,230.406
6/7/2010,ANA21,Anacostia,,0.051,0.464,,,,,,3.3,,102,68,35,3.1,,,,,,,,,,,,23.7,8.1,0.4,244.115
6/22/2010,ANA21,Anacostia,20,0.06,0.122,,,,3.6,,20.2,,112,76,25,8.8,,,,,,,,,,,,25.4,7.6,0.5,299.282
7/6/2010,ANA21,Anacostia,,0.019,0.02,,,,,,20.3,,118,80,20,11.6,,,,,,,,,,,,26.2,8.5,0.6,285.239
7/13/2010,ANA21,Anacostia,,0.02,0.087,,,,3.2,,66.5,,114,86,30,6.1,,,,,,,,,,,,25.1,7.7,0.7,339.407
8/9/2010,ANA21,Anacostia,,0.049,0.04,,,,,,29.8,,100,64,25,7.5,,,,,,,,,,,,25.3,7.3,0.6,259.589
8/24/2010,ANA21,Anacostia,49,0.042,0.136,,,,2.8,,13.1,,68,48,150,4.7,,,,,,,,,,,,26.6,7.5,0.4,370.278
9/7/2010,ANA21,Anacostia,,0.081,0.039,,,,,18,26.1,,86,56,30,8.2,,,,,,,,,,,,26.7,8.9,0.3,260.32
9/21/2010,ANA21,Anacostia,,0.03,0.16,,,,4.5,25,13.7,,106,66,25,7.5,,,,,,,,,,,,23.9,7,0.6,279.39
10/4/2010,ANA21,Anacostia,,0.014,0.177,,,,,8,6.1,,46,34,150,4.5,,,,,,,,,,,,19.4,7.1,0.2,275.491
10/19/2010,ANA21,Anacostia,219,0.028,0.243,,,,1.7,10,5,,92,66,15,5.2,,,,,,,,,,,,16.8,7.4,0.7,439.071
11/16/2010,ANA21,Anacostia,687,0.016,0.27,,,,1.5,,2.7,,104,74,10,6.3,,,,,,,,,,,,11.1,7.4,0.4,904.686
12/14/2010,ANA21,Anacostia,1414,,,,,,3.3,13,1.6,,66,54,15,11.4,,,,,,,,,,,,2.5,7.9,0.6,1589.3
1/11/2011,ANA21,Anacostia,91,0.01,0.219,,,,1.4,,0.9,,136,88,3.3,13.5,,,,,,,,,,,,0.5,8.1,1.1,344.029
2/8/2011,ANA21,Anacostia,,0.018,0.186,,,,2.2,13,2.1,,124,70,18.4,12.5,,,,,,,,,,,,2.9,7.7,0.4,253.404
3/8/2011,ANA21,Anacostia,2420,0.026,0.206,,,,2.7,35,4.9,,70,42,69,8.6,,,,,,,,,,,,9.6,7.2,0.1,2669.332
3/21/2011,ANA21,Anacostia,,0.013,0.137,,,,,25,,,84,54,,9.3,,,,,,,,,,,,11.1,8.4,0.3,192.25
4/12/2011,ANA21,Anacostia,,,,,,,2,13,5.6,,96,58,11.9,7.5,,,,,,,,,,,,14.5,7.7,,216.2
4/25/2011,ANA21,Anacostia,,0.021,,,,,,7,4,,82,54,18.2,5.5,,,,,,,,,,,,18.5,7.3,0.3,196.821
5/17/2011,ANA21,Anacostia,228,0.033,,,,,2.5,17,6.3,,104,74,12.2,5.1,,,,,,,,,,,,20.6,7.8,0.6,478.133
5/23/2011,ANA21,Anacostia,,,,,,,,7,5.4,,84,60,15.1,6.7,,,,,,,,,,,,20.5,7.5,0.5,206.7
6/6/2011,ANA21,Anacostia,,0.033,,,,,,11,11.9,,100,74,13.3,7,,,,,,,,,,,,25.9,8.3,0.5,251.933
6/21/2011,ANA21,Anacostia,105,0.042,,,,,2.2,15,12,,130,100,10.7,5.5,,,,,,,,,,,,25.6,7.7,0.5,414.242
7/5/2011,ANA21,Anacostia,,,,,,,,,10.7,,128,92,5.8,6.4,,,,,,,,,,,,28.6,8,0.8,280.3
7/12/2011,ANA21,Anacostia,182,,,,,,3.8,,,,92,78,11.4,6.9,,,,,,,,,,,,29.2,7.8,0.5,411.6
8/1/2011,ANA21,Anacostia,,0.014,,,,,,5,20.9,,134,92,9.2,6.9,,,,,,,,,,,,30.7,8.2,,306.914
8/22/2011,ANA21,Anacostia,167,0.038,,,,,3.9,18,16.8,,66,88,16.5,4.4,,,,,,,,,,,,27,6.8,0.4,414.838
9/6/2011,ANA21,Anacostia,,0.023,,,,,,,13.6,,68,90,28.4,5.3,,,,,,,,,,,,24.1,7,0.2,236.623
9/13/2011,ANA21,Anacostia,914,0.032,,,,,1.3,11,5.7,,68,98,17.7,4.6,,,,,,,,,,,,23.6,7.3,0.4,1151.632
10/3/2011,ANA21,Anacostia,,0.054,0.265,,,,,15,,,96,130,16.8,4.6,,,,,,,,,,,,18.7,7.1,0.3,288.819
10/17/2011,ANA21,Anacostia,127,0.042,0.242,,,,1.8,15,5.4,,86,114,13,6,,,,,,,,,,,,17.8,7.2,0.6,394.084
11/15/2011,ANA21,Anacostia,178,0.02,0.234,,,,1,4,4.8,,106,74,8.3,9.6,,,,,,,,,,,,10.8,7.7,0.6,405.054
12/13/2011,ANA21,Anacostia,816,0.036,0.194,,,,2.2,22,5.5,,64,46,57.3,10.4,,,,,,,,,,,,7.1,7.8,0.1,1038.63
1/10/2012,ANA21,Anacostia,548,0.018,0.299,,,,1.4,18,5.6,,94,60,11.7,10.6,,,,,,,,,,,,4.5,7.7,1.1,762.917
2/7/2012,ANA21,Anacostia,129,,0.102,,,,1.3,13,2,,110,64,6.5,10.6,,,,,,,,,,,,6.7,7.8,0.5,351.502
3/13/2012,ANA21,Anacostia,128,0.01,0.227,,,,,13,2.5,,78,52,15.5,9.4,,,,,,,,,,,,10.4,7.2,0.4,316.637
3/26/2012,ANA21,Anacostia,,,,,,,,12,4.7,,116,78,6.6,7.6,,,,,,,,,,,,17.5,6.9,0.8,250.1
4/10/2012,ANA21,Anacostia,58,,,,,,2,10,6.8,,116,78,8.1,9.3,,,,,,,,,,,,14.9,7.9,0.5,311.5
4/24/2012,ANA21,Anacostia,,,,,,,,21,5.6,,114,74,8.5,6.5,,,,,,,,,,,,16,7.2,0.4,253.2
5/8/2012,ANA21,Anacostia,59,0.011,0.095,,,,1.8,6,8.6,,126,90,3.7,7.9,,,,,,,,,,,,20.6,,0.8,324.506
5/21/2012,ANA21,Anacostia,,0.031,,,,,,12,8.5,,106,80,11,6.3,,,,,,,,,,,,22.2,7.6,0.5,254.131
6/4/2012,ANA21,Anacostia,,,0.249,,,,,14,5.9,,70,52,21.6,3.7,,,,,,,,,,,,23.8,7.3,0.3,198.849
6/19/2012,ANA21,Anacostia,28,0.045,0.238,,,,,,6.7,,106,78,8.6,5.5,,,,,,,,,,,,25.5,7.5,0.5,266.583
7/9/2012,ANA21,Anacostia,,0.028,0.136,,,,,,10.3,,117,82,7.9,5.5,,,,,,,,,,,,30.8,7.5,0.6,261.764
7/17/2012,ANA21,Anacostia,29,0.032,0.111,,,,2.5,,14.7,,98,74,4.7,7.2,,,,,,,,,,,,30.4,7.4,0.6,268.643
8/6/2012,ANA21,Anacostia,,,0.096,,,,,,12.2,,108,74,7.1,5.8,,,,,,,,,,,,29.4,7.2,,243.796
8/14/2012,ANA21,Anacostia,80,0.044,0.106,,,,3,,21.5,,102,72,5,7.8,,,,,,,,,,,,29.3,6.9,0.7,328.35
9/4/2012,ANA21,Anacostia,,0.056,0.201,,,,,14,7.8,,108,80,6.9,4.4,,,,,,,,,,,,27.4,7,0.7,256.457
9/11/2012,ANA21,Anacostia,212,0.068,,,,,1.1,9,13.3,,82,58,5.1,4.4,,,,,,,,,,,,25.9,7.5,,418.368
10/1/2012,ANA21,Anacostia,,0.026,,,,,,12,9.3,,102,76,6.2,7.8,,,,,,,,,,,,22.1,7.3,0.5,243.226
10/15/2012,ANA21,Anacostia,122,0.035,,,,,1.1,10,8.3,,102,74,9.6,7.3,,,,,,,,,,,,17.2,7.1,0.7,359.335
11/19/2012,ANA21,Anacostia,214,0.015,,,,,1,7,1,,112,80,7.6,8.5,,,,,,,,,,,,9,7.4,0.8,448.315
12/11/2012,ANA21,Anacostia,548,,,,,,1.4,10,1.2,,122,82,6.7,8.2,,,,,,,,,,,,8.7,7.3,0.8,796.3
1/15/2013,ANA21,Anacostia,60,,,,,,1.5,9,1.5,,102,64,15.4,10.73,,,,,,,,,,,,5.27,8.22,0.7,278.32
2/12/2013,ANA21,Anacostia,91,0.012,0.162,,,,1.7,7,1.6,,92,56,16.2,11.9,,,,,,,,,,,,4.2,8,0.4,290.174
3/12/2013,ANA21,Anacostia,88,,0.058,,,,2.8,7,2.5,,,,6.9,11.72,,,,,,,,,,,,7.73,8.26,0.7,135.668
3/25/2013,ANA21,Anacostia,,0.011,0.2,,,,,22,2.8,,91,58,14.8,10.27,,,,,,,,,,,,7.3,7.89,0.5,214.771
4/9/2013,ANA21,Anacostia,8,,0.05,,,,,5,0.9,,108,68,5.4,10.99,,,,,,,,,,,,12.72,8.23,0.7,227.99
4/22/2013,ANA21,Anacostia,,0.033,0.366,,,,,17,,,82,54,,,,,,,,,,,,,,,,,153.399
5/7/2013,ANA21,Anacostia,20,0.032,0.331,,,,1,12,3.7,,94,66,8.5,7,,,,,,,,,,,,17.2,8,0.6,238.363
5/20/2013,ANA21,Anacostia,,0.025,0.314,,,,,7,3.3,,78,54,7.9,5,,,,,,,,,,,,19.7,7.5,0.7,183.439
6/3/2013,ANA21,Anacostia,,0.038,0.315,,,,,4,5.5,,82,60,9.9,3.5,,,,,,,,,,,,26,7.2,0.5,198.953
6/18/2013,ANA21,Anacostia,,0.016,0.31,,,,0.31,10,10.3,,70,56,11.5,2.64,,,,,,,,,,,,25.15,7.2,0.5,193.926
7/1/2013,ANA21,Anacostia,,0.031,0.344,,,,,8,7,,76,58,8.6,2.9,,,,,,,,,,,,27.5,,0.7,189.075
7/15/2013,ANA21,Anacostia,71,0.027,0.073,,,,2.8,15,37.4,,90,66,9.3,9.84,,,,,,,,,,,,29.01,7.81,0.6,338.86
8/13/2013,ANA21,Anacostia,12,0.016,0.058,,,,2.5,,8,,116,84,1.6,6.56,,,,,,,,,,,,27.32,7.4,0.7,266.154
8/26/2013,ANA21,Anacostia,,0.057,0.109,,,,,9,6.4,,,,4.1,6.3,,,,,,,,,,,,25.8,,0.5,52.266
9/10/2013,ANA21,Anacostia,27,0.014,0.038,,,,1.6,6,7.9,,134,94,7.2,6.8,,,,,,,,,,,,25.71,7.69,0.6,318.552
9/23/2013,ANA21,Anacostia,,0.03,0.199,,,,,22,,,114,78,,,,,,,,,,,,,,,,,214.229
10/8/2013,ANA21,Anacostia,,,,,,,,,5.5,,106,73,20,4.8,,,,,,,,,,,,22.24,7.41,0.6,239.55
10/28/2013,ANA21,Anacostia,,,,,,,,,2.7,,86,64,12,6.5,,,,,,,,,,,,14,7.3,0.5,193
11/18/2013,ANA21,Anacostia,,,0.253,,,,1.8,21,3.9,,136,102,5.7,9.01,,,,,,,,,,,,10.16,7.41,1,298.233
12/16/2013,ANA21,Anacostia,192,,0.055,,,,1.2,19,3.7,,104,62,11.5,12.29,,,,,,,,,,,,3.26,7.33,0.6,416.935
1/14/2014,ANA21,Anacostia,358,0.029,0.134,,,,2.2,21,5.7,,90,54,40,12.4,,,,,,,,,,,,3.6,7.3,0.1,594.463
2/11/2014,ANA21,Anacostia,248,0.036,,,,,2,19,4,,100,54,35.2,13.3,,,,,,,,,,,,1.6,7.8,0.4,485.336
3/11/2014,ANA21,Anacostia,114,,0.022,,,,2.5,7,4.6,,120,76,7,12.6,,,,,,,,,,,,5.6,7.6,0.9,357.822
3/24/2014,ANA21,Anacostia,,,0.137,,,,,7,3.3,,116,78,13.5,11.1,,,,,,,,,,,,7.6,7.5,0.4,244.537
4/8/2014,ANA21,Anacostia,727,0.026,0.253,,,,1.4,17,4.2,,78,50,25.6,7.9,,,,,,,,,,,,12,7.1,0.4,930.879
4/21/2014,ANA21,Anacostia,,,0.108,,,,,10,7.1,,82,60,14.4,8.6,,,,,,,,,,,,14,7.6,0.6,204.408
5/13/2014,ANA21,Anacostia,23,,,,,,2,3,17.597807,,107,68,5.08159,7.99586,,,,,,,,,,,,22.30159,7.424401,0.7,264.101248
5/28/2014,ANA21,Anacostia,2420,0.032,0.302,,,,,43,4.429211,,120,74,55.96048,2.438881,,,,,,,,,,,,23.901476,7.099817,0.1,2751.263865
6/17/2014,ANA21,Anacostia,980,0.016,0.129,,,,1.4,18,4.05681,,88,60,25.150517,5.637575,,,,,,,,,,,,25.509703,7.005334,0.4,1215.304939
6/30/2014,ANA21,Anacostia,60,0.015,0.139,,,,,10,5.712358,,120,80,8.77632,4.595307,,,,,,,,,,,,27.708597,7.597562,0.5,325.044144
7/8/2014,ANA21,Anacostia,81,0.038,0.167,,,,2.3,18,17.836824,,108,72,15.34599,6.064218,,,,,,,,,,,,28.217859,7.408139,0.4,356.77803
7/21/2014,ANA21,Anacostia,113,0.028,0.04,,,,,17,20.626972,,140,62,13.03862,7.812004,,,,,,,,,,,,27.080301,8.137346,0.5,409.263243
8/4/2014,ANA21,Anacostia,210,,0.105,,,,,23,18.720779,,100,80,11.77478,6.695579,,,,,,,,,,,,26.477858,7.367111,0.6,484.741107
8/19/2014,ANA21,Anacostia,210,0.016,0.127,,,,2,38,7.841021,,82,56,16.489237,3.311819,,,,,,,,,,,,25.003336,6.973487,0.4,448.1619
9/9/2014,ANA21,Anacostia,127,0.045,0.189,,,,1.1,15,6.215166,,134,86,10.702387,5.353597,,,,,,,,,,,,26.407202,7.530651,,419.543003
9/22/2014,ANA21,Anacostia,83,,0.146,,,,,13,12.451312,,112,72,14.588699,5.831175,,,,,,,,,,,,23.145502,7.949509,0.5,344.612197
10/7/2014,ANA21,Anacostia,59,0.044,0.288,,,,1,18,6.418559,,128,82,13.244265,5.970832,,,,,,,,,,,,19.497313,7.656147,,341.119116
10/27/2014,ANA21,Anacostia,,0.012,0.165,,,,,12,3.521461,,116,76,9.804724,6.947731,,,,,,,,,,,,14.900944,7.272451,,246.624311
11/18/2014,ANA21,Anacostia,2613,0.019,0.27,,,,2.4,12,1.880335,,114,68,10.16695,8.740172,,,,,,,,,,,,8.116831,7.805386,0.9,2847.298674
12/9/2014,ANA21,Anacostia,1414,,0.114,,,,2.3,29,1.783962,,108,72,12.665039,10.097034,,,,,,,,,,,,5.924382,7.737231,0.7,1664.321648
1/13/2015,ANA21,Anacostia,623,0.015,0.338,,,,2.3,4,1.4,,110,52,15,13.55,,,,,,,,,,,,0.76,7.94,0.3,830.603
2/10/2015,ANA21,Anacostia,44,,0.058,,,,1.5,20,1,,136,80,1.7,14.7,,,,,,,,,,,,1.4,8.29,1.2,309.848
3/10/2015,ANA21,Anacostia,104,,0.082,,,,2.4,20,2.6,,112,68,20.8,13.9,,,,,,,,,,,,1.4,7.86,0.4,353.442
3/23/2015,ANA21,Anacostia,,,0.052,,,,,22,1.6,,110,64,6.3,11.62,,,,,,,,,,,,8.75,7.37,0.6,232.292
4/7/2015,ANA21,Anacostia,117,0.013,0.075,,,,1.4,,5.6,,124,78,5.8,9.8,,,,,,,,,,,,13.2,7.32,1,363.208
4/20/2015,ANA21,Anacostia,,0.025,0.269,,,,,,4.401282,,102,62,8.975018,6.854007,,,,,,,,,,,,17.869991,7.234034,0.6,210.228332
4/22/2015,ANA21,Anacostia,,,,,,,,,2.4,,,,10.4,3.8,,,,,,,,,,,,17,7.8,0.6,42
5/4/2015,ANA21,Anacostia,209,0.031,0.237,,,,,11,7.963424,,102,62,4.015667,7.287229,,,,,,,,,,,,17.756004,7.361598,0.9,429.551922
5/12/2015,ANA21,Anacostia,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,129
5/19/2015,ANA21,Anacostia,1733,0.05,,,,,3.6,21,12.861227,,114,69,13.66424,3.335826,,,,,,,,,,,,24.949286,7.094565,0.4,2002.955144
5/26/2015,ANA21,Anacostia,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
6/2/2015,ANA21,Anacostia,1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,1203
6/9/2015,ANA21,Anacostia,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,2420
6/16/2015,ANA21,Anacostia,613,0.028,,,,,2.1,,8.593977,,104,68,3.239685,3.727913,,,,,,,,,,,,28.816637,7.269949,0.6,839.376161
6/23/2015,ANA21,Anacostia,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,91
6/29/2015,ANA21,Anacostia,1733,0.019,,,,,,,5.759139,,60,40,72.8,5.510283,,,,,,,,,,,,23.584486,7.224322,0.1,1947.99723
7/7/2015,ANA21,Anacostia,345,0.033,0.361,,,,1.5,,9.765298,,,58,9.83917,3.499776,,,,,,,,,,,,26.406664,7.245255,0.6,462.250163
7/14/2015,ANA21,Anacostia,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,61
7/20/2015,ANA21,Anacostia,98,,0.185,,,,,,17.1,,116,72,6.81835,6.819464,,,,,,,,,,,,28.867176,7.393523,0.5,353.683513
