Date,Station,Watershed,E.coli,Nitrite,Ammonia,Total Phosphorus,Total Soluble Phosphorus,Ortho-Phosphorus,BOD5,TSS,Chlorophyll a,Phaeophytin a,Hardness,Alkalinity,Turbidity,Dissolved Oxygen,Cadmium,Chromium,Copper,Iron,Lead,Mercury,Zinc,Arsenic,Selenium,Phytoplankton,Zooplankton,Temperature,pH,Seechi Depth,sum
5/6/2013,PMS01,Potomac,8,0.014,0.045,,,,,,0.5,,120,84,3.1,9.5,,,,,,,,,,,,18.2,8.4,1.7,253.459
6/17/2013,PMS01,Potomac,,,0.019,,,,1,39,2.4,,104,74,30.1,8.88,,,,,,,,,,,,23.51,7.84,0.3,291.049
8/12/2013,PMS01,Potomac,11,,0.015,,,,1,,0.2,,128,102,4.1,7.89,,,,,,,,,,,,27.09,8.5,1.2,290.995
9/9/2013,PMS01,Potomac,7,,0.01,,,,,,0.5,,140,90,1.1,8.2,,,,,,,,,,,,24.93,8.36,2.4,282.5
10/7/2013,PMS01,Potomac,,,0.013,,,,,12,0.8,,146,102,0.3,8.12,,,,,,,,,,,,24.1,8.39,3.1,304.823
11/12/2013,PMS01,Potomac,10,,,,,,1.1,12,,,172,124,0.5,11.53,,,,,,,,,,,,9.44,8.22,3,351.79
12/9/2013,PMS01,Potomac,,,,,,,4.2,15,14.6,,116,76,94.7,13.28,,,,,,,,,,,,4.63,7.55,0.1,346.06
2/10/2014,PMS01,Potomac,59,0.026,,,,,2.3,54,6.6,,86,58,60,,,,,,,,,,,,,,8.5,0.4,334.826
3/10/2014,PMS01,Potomac,4,0.011,,,,,2.6,6,,,132,84,,,,,,,,,,,,,,,,,228.611
4/7/2014,PMS01,Potomac,8,,0.01,,,,1.3,20,2.2,,102,68,14.1,11.3,,,,,,,,,,,,11.3,7.6,0.6,246.41
5/12/2014,PMS01,Potomac,24,,,,,,1,18,2.871089,,110,76,12.867677,9.147274,,,,,,,,,,,,20.12673,7.90335,0.7,282.61612
6/16/2014,PMS01,Potomac,792,0.013,0.034,,,,1.2,17,3.579223,,94,66,161.261765,9.161663,,,,,,,,,,,,21.775047,7.749136,0.1,1173.873834
7/7/2014,PMS01,Potomac,14,,0.014,,,,0.8,12,7.802284,,157,106,7.316325,8.499181,,,,,,,,,,,,27.140532,8.319712,0.7,349.592034
8/18/2014,PMS01,Potomac,15,0.01,0.014,,,,1.1,5,1.742127,,124,117,4.024212,8.085075,,,,,,,,,,,,25.185297,8.140367,1.1,310.401078
9/8/2014,PMS01,Potomac,225,,0.022,,,,,12,2.081316,,135,88,8.459593,7.627036,,,,,,,,,,,,26.797865,7.879402,0.8,513.667212
10/6/2014,PMS01,Potomac,411,,,,,,,6,1.015713,,176,120,3.56645,9.43144,,,,,,,,,,,,17.657154,8.173629,1.8,754.644386
11/17/2014,PMS01,Potomac,28,,,,,,1.3,16,1.369098,,186,116,1.115736,12.319037,,,,,,,,,,,,7.00894,8.189233,2.9,380.202044
12/8/2014,PMS01,Potomac,62,,,,,,2.2,11,7.313274,,146,94,17.749718,13.505644,,,,,,,,,,,,5.242666,7.619617,0.6,367.230919
1/12/2015,PMS01,Potomac,25,,0.024,,,,1.7,,0.6,,142,88,,15.01,,,,,,,,,,,,0.15,7.83,1.5,281.814
2/9/2015,PMS01,Potomac,4,,,,,,1.7,4,1.6,,102,86,,14.49,,,,,,,,,,,,2.37,8.19,,224.35
3/9/2015,PMS01,Potomac,107,0.011,0.067,,,,3.2,50,8.8,,100,66,73.8,13.6,,,,,,,,,,,,0.8,7.95,0.1,431.328
4/6/2015,PMS01,Potomac,64,,,,,,1.4,,7.1,,126,80,4.4,10.7,,,,,,,,,,,,12.8,7.64,1.7,315.74
5/18/2015,PMS01,Potomac,365,,,,,,2.3,19,25.4,,104,84,10.002859,8.366534,,,,,,,,,,,,24.60796,8.346736,0.7,651.724089
6/15/2015,PMS01,Potomac,770,0.011,,,,,1.2,,12.498796,,128,94,11.8,7.134866,,,,,,,,,,,,28.695837,8.009284,0.4,1061.749783
7/6/2015,PMS01,Potomac,119,0.008,0.025,,,,,,6.479655,,,74,14.654588,8.746855,,,,,,,,,,,,24.545141,8.082652,0.5,256.041891
8/17/2015,PMS01,Potomac,3,,0.034,,,,1.3,,4.220411,,156,100,1.589101,7.916412,,,,,,,,,,,,28.624401,8.211727,1.3,312.196052
9/14/2015,PMS01,Potomac,186,,,,,,0.8,,3.744817,,170,98,3.157955,8.469153,,,,,,,,,,,,22.70619,8.191837,1.7,502.769952
10/13/2015,PMS01,Potomac,44,,0.015,,,0.026,,4,0.988563,,118,80,7.900767,9.422199,,,,,,,,,,,,17.801311,7.908491,1,291.062331
11/9/2015,PMS01,Potomac,16,,,,,,,5,1.419225,,140,106,3.31,10.497152,,,,,,,,,,,,13.580625,7.68498,1.7,305.191982
12/7/2015,PMS01,Potomac,73,,0.013,,,,1.2,,2.449717,,123,78,13.771111,12.878364,,,,,,,,,,,,6.471766,7.608882,0.6,318.99284
